fraction,trial,group,n,auc,auc_drop_vs_original,bce,bce_increase_vs_original,union_preservation_rate
0.75,0,graph_hits_history,50529,0.7497825205755536,0.023335572303897156,0.5567744934716435,0.019792740677823883,0.24557823129251702
0.75,0,high_support_mass,12637,0.7300555792508248,0.023253092799712327,0.5233572639258952,0.017294745601715955,0.24557823129251702
0.75,0,query_seq_top5_q4_high,12141,0.7736549362254808,0.022050814612616154,0.5136960538101606,0.013299087474976212,0.24557823129251702
0.75,0,multi_concept,8419,0.7179652987578005,0.03285606641328531,0.576583907869865,0.02197870777527422,0.24557823129251702
0.75,1,all,51090,0.761200698653177,0.01224929383606721,0.5440736047578836,0.006973391219209257,0.24421768707482994
0.75,1,graph_hits_history,50529,0.7607245725261162,0.01239352035333452,0.5440561441184145,0.007074391324594864,0.24421768707482994
0.75,1,high_support_mass,12637,0.738307119798625,0.015001552251912131,0.5143697175020179,0.00830719917783862,0.24421768707482994
0.75,1,query_seq_top5_q4_high,12141,0.7898798722925329,0.005825878545564045,0.5065065813031897,0.006109614968005328,0.24421768707482994
0.75,1,multi_concept,8419,0.7270954050629311,0.023725960108154642,0.57157496581992,0.016969765725329156,0.24421768707482994
0.75,2,all,51090,0.7529538332000378,0.02049615928920634,0.5503230970274905,0.013222883488816173,0.24285714285714285
0.75,2,graph_hits_history,50529,0.7525281519945793,0.020589940884871427,0.5501695791205552,0.013187826326735541,0.24285714285714285
0.75,2,high_support_mass,12637,0.7296420759760992,0.023666596074437884,0.5242519801367977,0.01818946181261849,0.24285714285714285
0.75,2,query_seq_top5_q4_high,12141,0.7687729009686861,0.026932849869410802,0.5164801617375386,0.016083195402354256,0.24285714285714285
0.75,2,multi_concept,8419,0.7258814466560758,0.024939918515009984,0.5792041254022925,0.02459892530770169,0.24285714285714285
0.75,3,all,51090,0.7474124780208102,0.026037514468433942,0.551843183935624,0.014742970396949717,0.24285714285714285
0.75,3,graph_hits_history,50529,0.7466652301447749,0.02645286273467584,0.5519973549972388,0.015015602203419132,0.24285714285714285
0.75,3,high_support_mass,12637,0.7188189231196438,0.034489748930893294,0.5289903330380854,0.022927814713906147,0.24285714285714285
0.75,3,query_seq_top5_q4_high,12141,0.7429768559960812,0.052728894842015706,0.5428462802795672,0.04244931394438278,0.24285714285714285
0.75,3,multi_concept,8419,0.7053490564408831,0.04547230873020269,0.5867809809463607,0.032175780851769864,0.24285714285714285
0.75,4,all,51090,0.7462010960152745,0.027248896473969664,0.5565129172046122,0.019412703665937836,0.24489795918367346
0.75,4,graph_hits_history,50529,0.7458703744472212,0.027247718432229617,0.5563095525006573,0.019327799706837623,0.24489795918367346
0.75,4,high_support_mass,12637,0.7285688735150033,0.024739798535533764,0.5187384555561309,0.012675937231951595,0.24489795918367346
0.75,4,query_seq_top5_q4_high,12141,0.7804024685088119,0.015303282329285017,0.520483106933298,0.020086140598113644,0.24489795918367346
0.75,4,multi_concept,8419,0.7106638782050446,0.040157486966041156,0.5785407511174856,0.023935551022894797,0.24489795918367346
1.0,0,all,51090,0.7420683850753784,0.03138160741386575,0.5544966489688322,0.017396435430157897,0.0
1.0,0,graph_hits_history,50529,0.7417136801898405,0.03140441268961025,0.554416309795617,0.0174345570017973,0.0
1.0,0,high_support_mass,12637,0.7249545713488008,0.028354100701736273,0.5240893529247763,0.018026834600597064,0.0
1.0,0,query_seq_top5_q4_high,12141,0.767895896743223,0.02780985409487391,0.5154192284010196,0.015022262065835235,0.0
1.0,0,multi_concept,8419,0.7225995572596706,0.028221807911415153,0.578755247927022,0.024150047832431243,0.0
1.0,1,all,51090,0.7398667154627471,0.033583277026497105,0.5551933185726311,0.01809310503395678,0.0
1.0,1,graph_hits_history,50529,0.7391445275318053,0.03397356534764551,0.555306098837337,0.018324346043517292,0.0
1.0,1,high_support_mass,12637,0.7015888953908231,0.051719776659713945,0.5355944363569162,0.029531918032736915,0.0
1.0,1,query_seq_top5_q4_high,12141,0.7330816364874988,0.06262411435059811,0.5447826267539105,0.04438566041872616,0.0
1.0,1,multi_concept,8419,0.6814758661056454,0.06934549906544041,0.5987103022403889,0.0441051021457981,0.0
1.0,2,all,51090,0.7402067939727968,0.033243198516447414,0.5553607301071791,0.018260516568504803,0.0
1.0,2,graph_hits_history,50529,0.7399584526144254,0.03315964026502538,0.555096492555031,0.018114739761211363,0.0
1.0,2,high_support_mass,12637,0.7074665805865742,0.0458420914639629,0.5319019235245538,0.025839405200374532,0.0
1.0,2,query_seq_top5_q4_high,12141,0.7399258324994622,0.055779918338634715,0.540597809372684,0.0402008430374996,0.0
1.0,2,multi_concept,8419,0.6901637538000057,0.060657611371080056,0.5903611760185387,0.03575597592394786,0.0
1.0,3,all,51090,0.735079369098704,0.038370623390540204,0.560537729526973,0.023437515988298685,0.0
1.0,3,graph_hits_history,50529,0.7345387825501959,0.03857931032925488,0.560532054183111,0.023550301389291373,0.0
1.0,3,high_support_mass,12637,0.7022195627091814,0.05108910934135569,0.5375665171562337,0.03150399883205446,0.0
1.0,3,query_seq_top5_q4_high,12141,0.7275389729638693,0.06816677787422765,0.5485231449590358,0.04812617862385138,0.0
1.0,3,multi_concept,8419,0.6833298924750416,0.06749147269604416,0.6038282972806867,0.049223097186095854,0.0
1.0,4,all,51090,0.7394915814664718,0.03395841102277242,0.5580427488762671,0.020942535337592827,0.0
1.0,4,graph_hits_history,50529,0.7390423111886373,0.03407578169081349,0.5578816005132978,0.02089984771947817,0.0
1.0,4,high_support_mass,12637,0.726514998811316,0.026793673239221105,0.5200851146746316,0.014022596350452332,0.0
1.0,4,query_seq_top5_q4_high,12141,0.7731398364189481,0.02256591441914879,0.5115454477459923,0.011148481410807931,0.0
1.0,4,multi_concept,8419,0.7148428440768233,0.03597852109426247,0.5756427760695774,0.021037575974986567,0.0
