case_id,rank,query_concept,support_concept,query_mapped,support_mapped,crg_weight,item_prior,seq_prior,source,is_self
CRG01_row9805,1,C220,C3,61,0,0.0026075844652950764,0.3196721374988556,0.2528776526451111,item+seq,0
CRG01_row9805,1,C220,C74,61,20,2.7346527531335596e-07,0.0,0.026604807004332542,seq,0
CRG01_row9805,1,C220,C62,61,14,5.49810685868124e-08,0.0,0.0160896647721529,seq,0
CRG01_row9805,1,C220,C204,61,54,5.3815632838905e-08,0.0,0.033548012375831604,seq,0
CRG02_row123251,2,C3,C32,0,1,0.5995915532112122,0.17797203361988068,0.1721956431865692,item+seq,0
CRG02_row123251,2,C3,C74,0,20,0.1628575325012207,0.032517481595277786,0.04535967484116554,item+seq,0
CRG02_row123251,2,C3,C3,0,0,0.05000000074505806,0.0,0.0,self,1
CRG02_row123251,2,C3,C37,0,4,0.049984417855739594,0.037062935531139374,0.03442876785993576,item+seq,0
CRG02_row123251,2,C3,C42,0,8,0.03984617441892624,0.04055944085121155,0.072576142847538,item+seq,0
CRG02_row123251,2,C3,C39,0,6,0.03764878958463669,0.049300700426101685,0.003069285536184907,item+seq,0
CRG02_row123251,2,C3,C71,0,18,0.028490126132965088,0.10314685106277466,0.09578772634267807,item+seq,0
CRG02_row123251,2,C3,C144,0,35,0.021020345389842987,0.035314686596393585,0.05633587762713432,item+seq,0
CRG02_row123251,2,C49,C62,9,14,0.4763921797275543,0.10185185074806213,0.02817045897245407,item+seq,0
CRG02_row123251,2,C49,C156,9,38,0.07888343930244446,0.05092592537403107,0.013340048491954803,item+seq,0
CRG02_row123251,2,C49,C251,9,74,0.07598435133695602,0.04398148134350777,0.013566755689680576,item+seq,0
CRG02_row123251,2,C49,C67,9,16,0.07441987842321396,0.05092592537403107,0.013340048491954803,item+seq,0
CRG02_row123251,2,C49,C49,9,9,0.05000000447034836,0.0,0.0,self,1
CRG02_row123251,2,C49,C406,9,81,0.04849653318524361,0.0555555559694767,0.0068293372169137,item+seq,0
CRG02_row123251,2,C49,C81,9,23,0.04488120973110199,0.08101851493120193,0.009976188652217388,item+seq,0
CRG02_row123251,2,C49,C70,9,17,0.03734414279460907,0.05787036940455437,0.014603739604353905,item+seq,0
CRG02_row123251,2,C67,C156,16,38,0.907899022102356,0.3333333432674408,0.01423467043787241,item+seq,0
CRG02_row123251,2,C67,C67,16,16,0.05000000447034836,0.0,0.0,self,1
CRG02_row123251,2,C67,C49,16,9,0.028067711740732193,0.3333333432674408,0.06841950118541718,item+seq,0
CRG02_row123251,2,C67,C3,16,0,0.014028689824044704,0.3333333432674408,0.2528778910636902,item+seq,0
CRG02_row123251,2,C67,C74,16,20,2.066051365545718e-06,0.0,0.03318880498409271,seq,0
CRG02_row123251,2,C67,C62,16,14,5.791424655399169e-07,0.0,0.02965695597231388,seq,0
CRG02_row123251,2,C67,C37,16,4,3.6739888287229405e-07,0.0,0.02242986671626568,seq,0
CRG02_row123251,2,C67,C42,16,8,2.576148006028234e-07,0.0,0.05855267122387886,seq,0
CRG02_row123251,2,C156,C67,38,16,0.9054625034332275,0.3333333432674408,0.014234669506549835,item+seq,0
CRG02_row123251,2,C156,C156,38,38,0.05000000447034836,0.0,0.0,self,1
CRG02_row123251,2,C156,C49,38,9,0.029688825830817223,0.3333333432674408,0.06841950118541718,item+seq,0
CRG02_row123251,2,C156,C3,38,0,0.014843858778476715,0.3333333432674408,0.2528778910636902,item+seq,0
CRG02_row123251,2,C156,C74,38,20,2.1594860299956053e-06,0.0,0.033188801258802414,seq,0
CRG02_row123251,2,C156,C62,38,14,6.055774974811357e-07,0.0,0.02965695410966873,seq,0
CRG02_row123251,2,C156,C37,38,4,3.84061479508091e-07,0.0,0.02242986485362053,seq,0
CRG02_row123251,2,C156,C42,38,8,2.693548140086932e-07,0.0,0.05855266749858856,seq,0
CRG03_row54791,3,C3,C32,0,1,0.5995915532112122,0.17797203361988068,0.1721956431865692,item+seq,0
CRG03_row54791,3,C3,C74,0,20,0.1628575325012207,0.032517481595277786,0.04535967484116554,item+seq,0
CRG03_row54791,3,C3,C3,0,0,0.05000000074505806,0.0,0.0,self,1
CRG03_row54791,3,C3,C37,0,4,0.049984417855739594,0.037062935531139374,0.03442876785993576,item+seq,0
CRG03_row54791,3,C3,C42,0,8,0.03984617441892624,0.04055944085121155,0.072576142847538,item+seq,0
CRG03_row54791,3,C3,C39,0,6,0.03764878958463669,0.049300700426101685,0.003069285536184907,item+seq,0
CRG03_row54791,3,C3,C71,0,18,0.028490126132965088,0.10314685106277466,0.09578772634267807,item+seq,0
CRG03_row54791,3,C3,C144,0,35,0.021020345389842987,0.035314686596393585,0.05633587762713432,item+seq,0
CRG03_row54791,3,C71,C74,18,20,0.8121259808540344,0.10437710583209991,0.054045189172029495,item+seq,0
CRG03_row54791,3,C71,C178,18,42,0.06196442246437073,0.06172839552164078,0.0150920320302248,item+seq,0
CRG03_row54791,3,C71,C71,18,18,0.05000000074505806,0.0,0.0,self,1
CRG03_row54791,3,C71,C278,18,80,0.04893116652965546,0.06060606241226196,0.013786273077130318,item+seq,0
CRG03_row54791,3,C71,C75,18,21,0.006979547441005707,0.03591470420360565,0.008487262763082981,item+seq,0
CRG03_row54791,3,C71,C181,18,45,0.006172628607600927,0.02693602629005909,0.015018015168607235,item+seq,0
CRG03_row54791,3,C71,C95,18,32,0.0035740304738283157,0.028058361262083054,0.007236553356051445,item+seq,0
CRG03_row54791,3,C71,C91,18,28,0.0029952973127365112,0.02469135820865631,0.009548052214086056,item+seq,0
CRG03_row54791,3,C74,C181,20,45,0.4431454539299011,0.08602149039506912,0.018821455538272858,item+seq,0
CRG03_row54791,3,C74,C182,20,46,0.18482021987438202,0.07885303348302841,0.017602140083909035,item+seq,0
CRG03_row54791,3,C74,C180,20,44,0.14898717403411865,0.039426516741514206,0.009807155467569828,item+seq,0
CRG03_row54791,3,C74,C73,20,19,0.06090793013572693,0.032258059829473495,0.007721361704170704,item+seq,0
CRG03_row54791,3,C74,C183,20,47,0.051065005362033844,0.05734765902161598,0.005788957234472036,item+seq,0
CRG03_row54791,3,C74,C74,20,20,0.05000000447034836,0.0,0.0,self,1
CRG03_row54791,3,C74,C439,20,84,0.03945252299308777,0.039426516741514206,0.004501245450228453,item+seq,0
CRG03_row54791,3,C74,C71,20,18,0.016403881832957268,0.333333283662796,0.1085793599486351,item+seq,0
CRG03_row54791,3,C182,C74,46,20,0.9478281736373901,0.3333333432674408,0.06360245496034622,item+seq,0
CRG03_row54791,3,C182,C182,46,46,0.05000000074505806,0.0,0.0,self,1
CRG03_row54791,3,C182,C71,46,18,0.001658412627875805,0.3333333432674408,0.10442017763853073,item+seq,0
CRG03_row54791,3,C182,C3,46,0,0.0005132678197696805,0.3333333432674408,0.25464820861816406,item+seq,0
CRG03_row54791,3,C182,C62,46,14,1.49096166524032e-08,0.0,0.01826835609972477,seq,0
CRG03_row54791,3,C182,C37,46,4,1.3628969064427565e-08,0.0,0.02116553485393524,seq,0
CRG03_row54791,3,C182,C42,46,8,7.615474473254835e-09,0.0,0.04222594201564789,seq,0
CRG03_row54791,3,C182,C204,46,54,7.405513535729824e-09,0.0,0.017151666805148125,seq,0
