dataset,corruption_type,corruption_ratio,seed,group,n_eval,auc,auc_drop,bce,bce_increase,clean_auc,clean_bce,mean_support_size,train_only_candidate_check_passed
assist_09,evidence_support_corruption,0.5,42,multi_concept,8419,0.7427311868588529,0.008985484670976263,0.5627445234701207,0.014150688218172447,0.7517166715298291,0.5485938352519483,7.0731706619262695,True
assist_09,evidence_support_corruption,0.75,42,all,51090,0.7640723323552259,0.010890179215265694,0.5381958232875136,0.007510139055025955,0.7749625115704916,0.5306856842324876,3.9349594116210938,True
assist_09,evidence_support_corruption,0.75,42,graph_hits_history,50529,0.7637810422621545,0.01095335621072313,0.5379873567045371,0.007505684554123371,0.7747343984728776,0.5304816721504138,3.9349594116210938,True
assist_09,evidence_support_corruption,0.75,42,high_support_mass,12637,0.7398123347286484,0.011930506749917025,0.5132379229257168,0.009018845939544384,0.7517428414785654,0.5042190769861724,3.9349594116210938,True
assist_09,evidence_support_corruption,0.75,42,query_seq_top5_q4_high,12141,0.788343528225777,0.009447515492442271,0.5043035316208644,0.008161161273440465,0.7977910437182193,0.4961423703474239,3.9349594116210938,True
assist_09,evidence_support_corruption,0.75,42,multi_concept,8419,0.7399758605779126,0.01174081095191648,0.5626444749505867,0.0140506396986384,0.7517166715298291,0.5485938352519483,3.9349594116210938,True
assist_09,evidence_support_corruption,1.0,42,all,51090,0.7602030625747823,0.014759448995709246,0.539328734589395,0.008643050356907378,0.7749625115704916,0.5306856842324876,1.0,True
assist_09,evidence_support_corruption,1.0,42,graph_hits_history,50529,0.7601386166900641,0.01459578178281351,0.538944031866691,0.00846235971627729,0.7747343984728776,0.5304816721504138,1.0,True
assist_09,evidence_support_corruption,1.0,42,high_support_mass,12637,0.7324486526598326,0.019294188818732794,0.5227077605957638,0.01848868360959144,0.7517428414785654,0.5042190769861724,1.0,True
assist_09,evidence_support_corruption,1.0,42,query_seq_top5_q4_high,12141,0.7852926478875515,0.012498395830667808,0.502753137814934,0.006610767467510104,0.7977910437182193,0.4961423703474239,1.0,True
assist_09,evidence_support_corruption,1.0,42,multi_concept,8419,0.7457581173511552,0.005958554178673969,0.5509533925594156,0.002359557307467286,0.7517166715298291,0.5485938352519483,1.0,True
assist_09,degree_matched_random_support,0.0,42,all,51090,0.7749625115704916,0.0,0.5306856842372548,4.76718664543796e-12,0.7749625115704916,0.5306856842324876,12.95121955871582,True
assist_09,degree_matched_random_support,0.0,42,graph_hits_history,50529,0.7747343984728776,0.0,0.5304816721552338,4.820033261410117e-12,0.7747343984728776,0.5304816721504138,12.95121955871582,True
assist_09,degree_matched_random_support,0.0,42,high_support_mass,12637,0.7517428414785654,0.0,0.5042190769977589,1.1586509529593059e-11,0.7517428414785654,0.5042190769861724,12.95121955871582,True
assist_09,degree_matched_random_support,0.0,42,query_seq_top5_q4_high,12141,0.7977910437182193,0.0,0.4961423703474239,0.0,0.7977910437182193,0.4961423703474239,12.95121955871582,True
assist_09,degree_matched_random_support,0.0,42,multi_concept,8419,0.7517166715298291,0.0,0.5485938352808772,2.892897033035524e-11,0.7517166715298291,0.5485938352519483,12.95121955871582,True
assist_09,degree_matched_random_support,0.25,42,all,51090,0.774137027603356,0.000825483967135554,0.5315756009038063,0.0008899166713186579,0.7749625115704916,0.5306856842324876,13.341463088989258,True
assist_09,degree_matched_random_support,0.25,42,graph_hits_history,50529,0.7738831499320238,0.0008512485408538328,0.5314076363387555,0.000925964188341788,0.7747343984728776,0.5304816721504138,13.341463088989258,True
assist_09,degree_matched_random_support,0.25,42,high_support_mass,12637,0.7517093989089563,3.344256960913228e-05,0.5045458726868526,0.0003267957006801714,0.7517428414785654,0.5042190769861724,13.341463088989258,True
assist_09,degree_matched_random_support,0.25,42,query_seq_top5_q4_high,12141,0.7973444690627394,0.0004465746554799255,0.49625905685742133,0.00011668650999741015,0.7977910437182193,0.4961423703474239,13.341463088989258,True
assist_09,degree_matched_random_support,0.25,42,multi_concept,8419,0.750339924502352,0.0013767470274771432,0.5515093782877746,0.002915543035826307,0.7517166715298291,0.5485938352519483,13.341463088989258,True
assist_09,degree_matched_random_support,0.5,42,all,51090,0.7709786805908223,0.003983830979669256,0.5328561086888054,0.0021704244563177655,0.7749625115704916,0.5306856842324876,13.44715404510498,True
assist_09,degree_matched_random_support,0.5,42,graph_hits_history,50529,0.7706300554537229,0.004104343019154744,0.5327635305099225,0.0022818583595087816,0.7747343984728776,0.5304816721504138,13.44715404510498,True
assist_09,degree_matched_random_support,0.5,42,high_support_mass,12637,0.7468357469217557,0.00490709455680971,0.507944981223971,0.0037259042377986162,0.7517428414785654,0.5042190769861724,13.44715404510498,True
assist_09,degree_matched_random_support,0.5,42,query_seq_top5_q4_high,12141,0.7952169444565158,0.0025740992617034886,0.5009990669150746,0.004856696567650642,0.7977910437182193,0.4961423703474239,13.44715404510498,True
assist_09,degree_matched_random_support,0.5,42,multi_concept,8419,0.7467501590310046,0.004966512498824516,0.5560404780666713,0.00744664281472307,0.7517166715298291,0.5485938352519483,13.44715404510498,True
assist_09,degree_matched_random_support,0.75,42,all,51090,0.7679512854198173,0.007011226150674288,0.5366728609448584,0.005987176712370812,0.7749625115704916,0.5306856842324876,13.479674339294434,True
assist_09,degree_matched_random_support,0.75,42,graph_hits_history,50529,0.7676437401170304,0.0070906583558472125,0.5365125085596386,0.00603083640922486,0.7747343984728776,0.5304816721504138,13.479674339294434,True
assist_09,degree_matched_random_support,0.75,42,high_support_mass,12637,0.7432917166834978,0.0084511247950676,0.5120539896705959,0.00783491268442349,0.7517428414785654,0.5042190769861724,13.479674339294434,True
assist_09,degree_matched_random_support,0.75,42,query_seq_top5_q4_high,12141,0.7909982733825217,0.006792770335697584,0.5066584268019768,0.010516056454552891,0.7977910437182193,0.4961423703474239,13.479674339294434,True
assist_09,degree_matched_random_support,0.75,42,multi_concept,8419,0.7309693518901181,0.020747319639710993,0.5671802351407721,0.018586399888823824,0.7517166715298291,0.5485938352519483,13.479674339294434,True
assist_09,degree_matched_random_support,1.0,42,all,51090,0.7589214048366931,0.016041106733798438,0.5388481090501561,0.00816242481766849,0.7749625115704916,0.5306856842324876,13.463414192199707,True
