delete_mode,fraction,trial,group,n,deleted_edges,auc,auc_drop_vs_baseline,bce,bce_increase_vs_baseline
random,0.1,4,graph_hits_history,50529,237,0.7695319413056247,0.003586151573826024,0.5402779976523941,0.003296244858574493
random,0.1,4,high_support_mass,12637,237,0.7499438738221773,0.0033647982283597777,0.5081676584588793,0.0021051401347000898
random,0.1,4,multi_concept,8419,237,0.7489771210251721,0.001844244145913665,0.5559984944587582,0.0013932943641673523
top,0.25,0,all,51090,385,0.7506154938020161,0.02283449868722809,0.5578187289265986,0.02071851538792424
top,0.25,0,graph_hits_history,50529,385,0.7499837566799736,0.023134336199477135,0.5579440280386042,0.020962275244784556
top,0.25,0,high_support_mass,12637,385,0.720118048017544,0.03319062403299311,0.5331888327719655,0.027126314447786237
top,0.25,0,multi_concept,8419,385,0.6952495162612852,0.0555718489098006,0.5963490137904099,0.04174381369581914
random,0.25,0,all,51090,385,0.7648773041164625,0.00857268837278169,0.5426303114078729,0.005530097869198558
random,0.25,0,graph_hits_history,50529,385,0.7643825493206723,0.00873554355877848,0.5426603784405137,0.00567862564669408
random,0.25,0,high_support_mass,12637,385,0.7455815009126057,0.007727171137931421,0.5125609817274505,0.006498463403271204
random,0.25,0,multi_concept,8419,385,0.7262031420626045,0.024618223108481274,0.5694177176762824,0.014812517581691553
random,0.25,1,all,51090,385,0.7677070110677078,0.005742981421536397,0.5411045991851055,0.00400438564643113
random,0.25,1,graph_hits_history,50529,385,0.7673750061493567,0.005743086730094049,0.5410317707623408,0.0040500179685211135
random,0.25,1,high_support_mass,12637,385,0.7480442634068474,0.005264408643689711,0.5103776941374271,0.004315175813247807
random,0.25,1,multi_concept,8419,385,0.7457690796523913,0.0050522855186945215,0.5627592266523423,0.008154026557751548
random,0.25,2,all,51090,385,0.7625206498830257,0.010929342606218473,0.5511429857736208,0.014042772234946432
random,0.25,2,graph_hits_history,50529,385,0.7622856588709707,0.010832434008480107,0.5509407480028161,0.01395899520899646
random,0.25,2,high_support_mass,12637,385,0.7246538245099033,0.028654847540633743,0.5339159876767516,0.02785346935257238
random,0.25,2,multi_concept,8419,385,0.7195564783349526,0.031264886836133154,0.5942525034920031,0.03964730339741229
random,0.25,3,all,51090,385,0.7659810772868827,0.007468915202361481,0.542454504583929,0.005354291045254644
random,0.25,3,graph_hits_history,50529,385,0.7655805064066667,0.007537586472784019,0.5424280400436575,0.005446287249837867
random,0.25,3,high_support_mass,12637,385,0.7459018123635872,0.007406859686949874,0.5108486952079366,0.004786176883757376
random,0.25,3,multi_concept,8419,385,0.74283922608265,0.007982139088435813,0.5672967920962271,0.012691592001636276
random,0.25,4,all,51090,385,0.7693338489032634,0.0041161435859807805,0.5413703748576847,0.004270161319010368
random,0.25,4,graph_hits_history,50529,385,0.7689491768083254,0.00416891607112535,0.5412687862521298,0.004287033458310163
random,0.25,4,high_support_mass,12637,385,0.7503028104171445,0.003005861633392559,0.5084581758195394,0.002395657495360193
