variant,repeat,seed,mrr,hit@1,ndcg@1,hit@3,ndcg@3,hit@5,ndcg@5,hit@10,ndcg@10
A_degree_random_repeat,11,95070,0.059744448082299714,0.012465733958932893,0.012465733958932893,0.03657460371550654,0.02671479344895357,0.0588592095768083,0.03566860573715855,0.13599636207899943,0.06033195680061672
A_degree_random_repeat,12,102989,0.05833546133091116,0.012253754140742635,0.012253754140742635,0.034626801912944954,0.025337820257362736,0.057957684419192176,0.03468745786694141,0.1323905734129473,0.058541180433784805
A_degree_random_repeat,13,110908,0.05869561015572327,0.0109145429126027,0.0109145429126027,0.036575799579087215,0.026195569900360816,0.057978066094132225,0.034777914858240076,0.13506026086568143,0.05949408171859804
A_degree_random_repeat,14,118827,0.05909307505420686,0.012686240804393992,0.012686240804393992,0.03378668175049262,0.02522617801395788,0.05636328630175182,0.03432293458499218,0.13704581036213706,0.06006401642830515
A_degree_random_repeat,15,126746,0.05810882711117726,0.01212210515873191,0.01212210515873191,0.033862645084899286,0.024918461495882515,0.056834976493221535,0.03410728131379646,0.13443336837906872,0.05888563427917548
A_degree_random_repeat,16,134665,0.05812440147977887,0.012149558027018505,0.012149558027018505,0.033874759702912115,0.02505341571853255,0.056032604024663264,0.03396504390325258,0.13134112512980967,0.05807905784178171
A_degree_random_repeat,17,142584,0.057183618490635905,0.010782529972110896,0.010782529972110896,0.032837166067443684,0.023812151954341047,0.0559714070057744,0.033051370980100594,0.13483205889804908,0.05820999696841322
A_degree_random_repeat,18,150503,0.05787254441260159,0.011129122434229187,0.011129122434229187,0.034260295722505135,0.02487784931848989,0.05593033169148194,0.03356516701498296,0.13360619473972885,0.058327242052944345
A_degree_random_repeat,19,158422,0.05932247506172073,0.011463548284265919,0.011463548284265919,0.036944853478894514,0.026642413984712614,0.059456049491698165,0.03564990747560956,0.1332516991791644,0.05927164658844065
A_degree_random_repeat,20,166341,0.0582513282162835,0.011274705826658113,0.011274705826658113,0.03444861823942571,0.024883102048577146,0.05859892726877287,0.03453734621747559,0.1381099729667238,0.05984716964701024
A_degree_random_repeat,21,174260,0.05869232080022829,0.011431051991313034,0.011431051991313034,0.03688032883960728,0.02633739425818516,0.05853507855237905,0.03502318468064552,0.13343003883488985,0.05895395485881333
A_degree_random_repeat,22,182179,0.05805130535326758,0.010874299503409844,0.010874299503409844,0.03495691225527756,0.025197231243413186,0.056432958353842794,0.03379570892022907,0.13281260926878502,0.05828116376454968
A_degree_random_repeat,23,190098,0.05943895077311374,0.013202697889035607,0.013202697889035607,0.03567001090783568,0.02645061242698228,0.05776010695803863,0.03530378105052083,0.13447777131375954,0.05989022643228207
A_degree_random_repeat,24,198017,0.05865445104190035,0.011077128365504573,0.011077128365504573,0.03604920365104429,0.02583093115859154,0.05786555092941216,0.03461724496440306,0.13397056917335093,0.05896227671546347
A_degree_random_repeat,25,205936,0.05832200538652762,0.010749461744402042,0.010749461744402042,0.034777636706315083,0.02501047640205286,0.05714751284032521,0.03396816238041141,0.1358340885905099,0.05907426037583377
A_degree_random_repeat,26,213855,0.0583889368355157,0.011974182033210372,0.011974182033210372,0.03576016862300414,0.02604093473593589,0.05809422084366303,0.035000589115582466,0.13330577301063798,0.05903768471838931
A_degree_random_repeat,27,221774,0.058416268996949273,0.012015829282258793,0.012015829282258793,0.03466683734586293,0.025366503878287795,0.054276764323832986,0.03323005291362258,0.13397987611165263,0.058698139134891844
A_degree_random_repeat,28,229693,0.05804346883191047,0.012212678826450189,0.012212678826450189,0.03345880715311518,0.024768017445529818,0.05597681438892174,0.033794305531866735,0.1342972479071477,0.058804631406783756
A_degree_random_repeat,29,237612,0.0575120236899304,0.010754869127549402,0.010754869127549402,0.034387629196811736,0.024739188097141675,0.05858863244316539,0.03444338041525261,0.1357971208076467,0.05910768972547839
