dataset,corruption_type,corruption_ratio,seed,subgroup,n_eval,auc,auc_drop_from_clean,bce,bce_increase_from_clean,clean_auc,clean_bce,mean_support_size,train_only_candidate_check_passed,evidence_minus_degree_random_auc_drop,evidence_minus_degree_random_bce_increase,bootstrap_ci_low,bootstrap_ci_high,claim_status
assist_09,self_only_fallback,0.5,44,high_crg_mass,12637,0.7324486526598326,0.019294188818732794,0.5227077605866957,0.018488683584136134,0.7517428414785654,0.5042190770025595,1.0,True,0.008527445685202695,0.008545163070383777,0.005555286537763782,0.010119961001836753,strong_evidence_gap
assist_09,self_only_fallback,0.5,44,short_history,25670,0.7768207696503919,0.0060813564451842606,0.5476280616615934,-0.00037452119660030814,0.7829021260955762,0.5480025828581937,1.0,True,0.0014365579551328667,-0.005222628588157141,-0.012244199951429757,-0.007984426398851729,support_dependence_only
assist_09,self_only_fallback,0.5,44,long_history,25420,0.7347379350940958,0.022878051024364132,0.5309477854843487,0.017749307681283022,0.7576159861184599,0.5131984778030657,1.0,True,0.01582423516875875,0.01094565188700658,0.008677748972003085,0.01052287234727144,strong_evidence_gap
assist_09,self_only_fallback,0.5,45,all,51090,0.7602030625747823,0.014759448995709246,0.5393287345856302,0.0086430503475452,0.7749625115704916,0.530685684238085,1.0,True,0.011268178159226871,0.006024499246702009,-0.001181392166829187,0.00128768838467338,strong_evidence_gap
assist_09,self_only_fallback,0.5,45,graph_hits_history,50529,0.7601386166900641,0.01459578178281351,0.5389440318628844,0.008462359706811307,0.7747343984728776,0.5304816721560731,1.0,True,0.011131376461735343,0.0058742682155521475,-0.000996145282239813,0.001205054319276999,strong_evidence_gap
assist_09,self_only_fallback,0.5,45,high_support_mass,12637,0.7324486526598326,0.019294188818732794,0.5227077605957638,0.018488683593204325,0.7517428414785654,0.5042190770025595,1.0,True,0.014783978643130857,0.014122872647776452,0.005555286537763782,0.010119961001836753,strong_evidence_gap
assist_09,self_only_fallback,0.5,45,query_seq_top5_q4_high,12141,0.7852926478875515,0.012498395830667808,0.502753137814934,0.006610767467510104,0.7977910437182193,0.4961423703474239,1.0,True,0.008319300099250304,0.001103984994986762,-0.008778564950994971,0.0015225356443721583,support_dependence_only
assist_09,self_only_fallback,0.5,45,multi_concept,8419,0.7457581173511552,0.005958554178673969,0.5509533925365695,0.0023595572506546203,0.7517166715298291,0.5485938352859149,1.0,True,0.003045314861514159,-0.0023186339684968527,-0.011218260100813416,-0.004729382085202227,support_dependence_only
assist_09,self_only_fallback,0.5,45,direct_seen,49506,0.7594273485199593,0.013150028819122972,0.5422836557057062,0.007242865710171631,0.7725773773390823,0.5350407899955346,1.0,True,0.009880355095837623,0.004761347523369652,-0.002708551067175069,-0.0002113623142453336,support_dependence_only
assist_09,self_only_fallback,0.5,45,direct_unseen,1584,0.7925131904258009,0.025523995649430642,0.4469762567002221,0.05240412399514949,0.8180371860752316,0.39457213270507263,1.0,True,0.013903654036429902,0.045502775266455076,-0.00205473566362141,0.002715177644161759,strong_evidence_gap
assist_09,self_only_fallback,0.5,45,direct_unseen_bridgeable,1584,0.7925131904258009,0.025523995649430642,0.4469762567002221,0.05240412399514949,0.8180371860752316,0.39457213270507263,1.0,True,0.013903654036429902,0.045502775266455076,-0.00205473566362141,0.002715177644161759,strong_evidence_gap
assist_09,self_only_fallback,0.5,45,high_seq_support,12141,0.7852926478875515,0.012498395830667808,0.502753137814934,0.006610767467510104,0.7977910437182193,0.4961423703474239,1.0,True,0.008319300099250304,0.001103984994986762,-0.008778564950994971,0.0015225356443721583,support_dependence_only
assist_09,self_only_fallback,0.5,45,high_crg_mass,12637,0.7324486526598326,0.019294188818732794,0.5227077605957638,0.018488683593204325,0.7517428414785654,0.5042190770025595,1.0,True,0.014783978643130857,0.014122872647776452,0.005555286537763782,0.010119961001836753,strong_evidence_gap
assist_09,self_only_fallback,0.5,45,short_history,25670,0.7768207696503919,0.0060813564451842606,0.5476280616615934,-0.00037452119660030814,0.7829021260955762,0.5480025828581937,1.0,True,0.001883497010863322,-0.0024301631451252304,-0.012244199951429757,-0.007984426398851729,support_dependence_only
assist_09,self_only_fallback,0.5,45,long_history,25420,0.7347379350940958,0.022878051024364132,0.5309477854888568,0.017749307685791083,0.7576159861184599,0.5131984778030657,1.0,True,0.019760099923418872,0.014562311347339207,0.008677748972003085,0.01052287234727144,strong_evidence_gap
