dataset,corruption_type,corruption_ratio,seed,group,n_eval,auc,auc_drop,bce,bce_increase,clean_auc,clean_bce,mean_support_size,train_only_candidate_check_passed
junyi,evidence_support_corruption,0.75,42,query_seq_top5_q4_high,14777,0.8421801749672674,0.0010206407245558768,0.3992790959455963,-0.004276082705732653,0.8432008156918233,0.40355517865132895,6.529411792755127,True
junyi,evidence_support_corruption,1.0,42,all,60494,0.8274235770609575,0.001853089409960873,0.5035179275882486,0.009511380663575042,0.8292766664709184,0.4940065469246736,1.0,True
junyi,evidence_support_corruption,1.0,42,graph_hits_history,60473,0.8273540718697374,0.0018411621915969123,0.5035227986917526,0.009515066936770455,0.8291952340613343,0.4940077317549822,1.0,True
junyi,evidence_support_corruption,1.0,42,high_support_mass,15119,0.8172357353596624,0.0007761120010281175,0.4353303757100881,0.008321905316628908,0.8180118473606905,0.4270084703934592,1.0,True
junyi,evidence_support_corruption,1.0,42,query_seq_top5_q4_high,14777,0.8428222417602305,0.00037857393159279606,0.41337174126321136,0.009816562611882407,0.8432008156918233,0.40355517865132895,1.0,True
junyi,degree_matched_random_support,0.0,42,all,60494,0.8292766664709184,0.0,0.4940065469246736,0.0,0.8292766664709184,0.4940065469246736,23.345767974853516,True
junyi,degree_matched_random_support,0.0,42,graph_hits_history,60473,0.8291952340613343,0.0,0.4940077317549822,0.0,0.8291952340613343,0.4940077317549822,23.345767974853516,True
junyi,degree_matched_random_support,0.0,42,high_support_mass,15119,0.8180118473606905,0.0,0.4270084703934592,0.0,0.8180118473606905,0.4270084703934592,23.345767974853516,True
junyi,degree_matched_random_support,0.0,42,query_seq_top5_q4_high,14777,0.8432008156918233,0.0,0.40355517865132895,0.0,0.8432008156918233,0.40355517865132895,23.345767974853516,True
junyi,degree_matched_random_support,0.25,42,all,60494,0.8290823743673021,0.00019429210361621152,0.49379124344037145,-0.00021530348430215396,0.8292766664709184,0.4940065469246736,23.345767974853516,True
junyi,degree_matched_random_support,0.25,42,graph_hits_history,60473,0.8289998605120245,0.00019537354930987405,0.493795421718006,-0.00021231003697619322,0.8291952340613343,0.4940077317549822,23.345767974853516,True
junyi,degree_matched_random_support,0.25,42,high_support_mass,15119,0.817806671364506,0.00020517599618452564,0.4268500305373543,-0.00015843985610486389,0.8180118473606905,0.4270084703934592,23.345767974853516,True
junyi,degree_matched_random_support,0.25,42,query_seq_top5_q4_high,14777,0.8431238197246402,7.699596718302448e-05,0.40361683165138973,6.165300006077956e-05,0.8432008156918233,0.40355517865132895,23.345767974853516,True
junyi,degree_matched_random_support,0.5,42,all,60494,0.8290436658946803,0.000233000576238096,0.4932653865978252,-0.0007411603268484002,0.8292766664709184,0.4940065469246736,23.345767974853516,True
junyi,degree_matched_random_support,0.5,42,graph_hits_history,60473,0.8289589524432819,0.0002362816180524474,0.4932728355829051,-0.0007348961720771152,0.8291952340613343,0.4940077317549822,23.345767974853516,True
junyi,degree_matched_random_support,0.5,42,high_support_mass,15119,0.8178173537340878,0.00019449362660273195,0.4264638483844921,-0.0005446220089670994,0.8180118473606905,0.4270084703934592,23.345767974853516,True
junyi,degree_matched_random_support,0.5,42,query_seq_top5_q4_high,14777,0.8432081474495041,-7.331757680861806e-06,0.4033638348835132,-0.0001913437678157659,0.8432008156918233,0.40355517865132895,23.345767974853516,True
junyi,degree_matched_random_support,0.75,42,all,60494,0.8281846510062738,0.0010920154646445468,0.49327893066404777,-0.0007276162606258407,0.8292766664709184,0.4940065469246736,23.345767974853516,True
junyi,degree_matched_random_support,0.75,42,graph_hits_history,60473,0.8281005906077152,0.001094643453619093,0.4932839084836371,-0.0007238232713450699,0.8291952340613343,0.4940077317549822,23.345767974853516,True
junyi,degree_matched_random_support,0.75,42,high_support_mass,15119,0.8166796993978797,0.0013321479628108923,0.4267420000663163,-0.000266470327142887,0.8180118473606905,0.4270084703934592,23.345767974853516,True
junyi,degree_matched_random_support,0.75,42,query_seq_top5_q4_high,14777,0.8426307027186958,0.000570112973127479,0.40282681992323643,-0.0007283587280925152,0.8432008156918233,0.40355517865132895,23.345767974853516,True
junyi,degree_matched_random_support,1.0,42,all,60494,0.8264867715452323,0.002789894925686043,0.4894693903684172,-0.0045371565562564165,0.8292766664709184,0.4940065469246736,23.345767974853516,True
junyi,degree_matched_random_support,1.0,42,graph_hits_history,60473,0.8264161612155141,0.0027790728458202407,0.48946815792431697,-0.004539573830665222,0.8291952340613343,0.4940077317549822,23.345767974853516,True
junyi,degree_matched_random_support,1.0,42,high_support_mass,15119,0.8157274424523087,0.0022844049083818874,0.42485852160617193,-0.002149948787287248,0.8180118473606905,0.4270084703934592,23.345767974853516,True
junyi,degree_matched_random_support,1.0,42,query_seq_top5_q4_high,14777,0.8412398082312467,0.0019610074605765915,0.3992929054080972,-0.004262273243231751,0.8432008156918233,0.40355517865132895,23.345767974853516,True
junyi,sequence_shuffled_support,0.0,42,all,60494,0.8292766664709184,0.0,0.4940065469246736,0.0,0.8292766664709184,0.4940065469246736,23.345767974853516,True
junyi,sequence_shuffled_support,0.0,42,graph_hits_history,60473,0.8291952340613343,0.0,0.4940077317549822,0.0,0.8291952340613343,0.4940077317549822,23.345767974853516,True
junyi,sequence_shuffled_support,0.0,42,high_support_mass,15119,0.8180118473606905,0.0,0.4270084703934592,0.0,0.8180118473606905,0.4270084703934592,23.345767974853516,True
junyi,sequence_shuffled_support,0.0,42,query_seq_top5_q4_high,14777,0.8432008156918233,0.0,0.40355517865132895,0.0,0.8432008156918233,0.40355517865132895,23.345767974853516,True
junyi,sequence_shuffled_support,0.25,42,all,60494,0.8291420648805046,0.0001346015904137854,0.4938343071557702,-0.00017223976890340387,0.8292766664709184,0.4940065469246736,23.345767974853516,True
junyi,sequence_shuffled_support,0.25,42,graph_hits_history,60473,0.8290620931513997,0.0001331409099346592,0.49383478433078337,-0.0001729474241988216,0.8291952340613343,0.4940077317549822,23.345767974853516,True
junyi,sequence_shuffled_support,0.25,42,high_support_mass,15119,0.8179894372152801,2.241014541048969e-05,0.42674912726809877,-0.0002593431253604117,0.8180118473606905,0.4270084703934592,23.345767974853516,True
junyi,sequence_shuffled_support,0.25,42,query_seq_top5_q4_high,14777,0.8431428998107556,5.791588106762724e-05,0.40328482895051165,-0.00027034970081729615,0.8432008156918233,0.40355517865132895,23.345767974853516,True
junyi,sequence_shuffled_support,0.5,42,all,60494,0.8289363413134747,0.0003403251574436439,0.4936741512490482,-0.0003323956756254298,0.8292766664709184,0.4940065469246736,23.345767974853516,True
junyi,sequence_shuffled_support,0.5,42,graph_hits_history,60473,0.8288561435379196,0.00033909052341474233,0.4936744107577218,-0.0003333209972604112,0.8291952340613343,0.4940077317549822,23.345767974853516,True
junyi,sequence_shuffled_support,0.5,42,high_support_mass,15119,0.8183722241279857,-0.00036037676729516743,0.42630010926742484,-0.0007083611260343403,0.8180118473606905,0.4270084703934592,23.345767974853516,True
junyi,sequence_shuffled_support,0.5,42,query_seq_top5_q4_high,14777,0.8429310670645134,0.0002697486273098848,0.40289890368582804,-0.0006562749655009137,0.8432008156918233,0.40355517865132895,23.345767974853516,True
junyi,sequence_shuffled_support,0.75,42,all,60494,0.8284140781362779,0.0008625883346404795,0.49364287746288893,-0.00036366946178467696,0.8292766664709184,0.4940065469246736,23.345767974853516,True
junyi,sequence_shuffled_support,0.75,42,graph_hits_history,60473,0.8283278784682858,0.0008673555930485133,0.49364771892589726,-0.0003600128290849325,0.8291952340613343,0.4940077317549822,23.345767974853516,True
junyi,sequence_shuffled_support,0.75,42,high_support_mass,15119,0.8173700159896687,0.000641831371021806,0.42693704175291086,-7.14286405483211e-05,0.8180118473606905,0.4270084703934592,23.345767974853516,True
