dataset,candidate_type,query_concept_id,support_signature,support_size,n_total,n_records_sampled,n_learners,n_positive,n_negative,has_both_labels,support_identical_check_passed,mean_pairwise_l1,mean_pairwise_js,posterior_variability_check_passed,score
assist_09,same_query_concept,70,30;32;33;38;42;55;70;79;81;82;97;98;99,13,67,67,42,19,48,True,True,0.06982029113207812,0.0019431150279685307,False,2.4537127628133084
assist_09,same_query_concept,85,12;13;14;18;20;29;49;82;83;84;85;98,12,85,85,65,44,41,True,True,0.026308655661934653,0.0012039642016609124,False,2.450089986671221
assist_09,same_query_concept,15,15;16;18;20;25;30;46;49;79;82;98;99;106,13,78,78,58,52,26,True,True,0.03514163741670686,0.0008664642490340325,False,2.446361238803415
assist_09,same_query_concept,16,15;16;18;20;25;30;46;79;81;82;98;99;106,13,104,104,77,66,38,True,True,0.0057039067127745615,0.00023377004362821596,False,2.442309869556247
assist_09,same_query_concept,22,22;29;30;37;43;46;51;79;80;81;82;96;98,13,96,96,72,56,40,True,True,0.009728659837817207,6.665311535099179e-05,False,2.4390412164140605
assist_09,same_query_concept,84,12;13;14;18;29;30;49;82;83;84;85;98,12,81,81,61,7,74,True,True,0.02491355893206623,0.000321540179666121,False,2.43891315815524
assist_09,same_query_concept,0,0;5;6;7;9;11;12;13;14;46;49;98,12,100,100,51,75,25,True,True,0.03849503076126885,0.00043039366471525007,False,2.4353409772782726
assist_09,same_query_concept,50,7;20;29;30;44;46;48;49;50;51;79;82;98,13,60,60,39,43,17,True,True,0.05894937829198933,0.0013353157059830172,False,2.433178586527315
assist_09,same_query_concept,1,1;7;24;30;31;32;33;44;48;49;51;106,12,57,57,50,43,14,True,True,0.01238709801665836,0.0001316098287257604,False,2.406096100603994
assist_09,same_query_concept,61,30;33;49;61;62;66;79;81;82;98;99;106,12,36,36,31,22,14,True,True,0.015005649731916716,0.0004959930772413157,False,2.3635632123208548
