dataset,corruption_type,corruption_ratio,seed,subgroup,n_eval,auc,auc_drop_from_clean,bce,bce_increase_from_clean,clean_auc,clean_bce,mean_support_size,train_only_candidate_check_passed,evidence_minus_degree_random_auc_drop,evidence_minus_degree_random_bce_increase,bootstrap_ci_low,bootstrap_ci_high,claim_status,source_file,metric,degree_auc_drop,degree_bce_increase,requested_subgroup
assist_09,evidence_support_corruption,0.25,43,high_crg_mass,12637,0.7457222653035751,0.0060205761749903,0.5114761064578113,0.0072570294552517,0.7517428414785654,0.5042190770025595,9.959349632263184,True,0.0053401939486308996,0.007174112405663628,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0006803822263594,8.291704958807156e-05,high_crg_mass
assist_09,evidence_support_corruption,0.25,43,short_history,25670,0.7779250168244263,0.0049771092711499,0.5520958848446884,0.0040933019864947,0.7829021260955762,0.5480025828581937,9.959349632263184,True,0.0012155358019559997,0.0021345179566861997,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0037615734691939,0.0019587840298085,short_history
assist_09,evidence_support_corruption,0.25,43,long_history,25420,0.7527911841105037,0.0048248020079562,0.5185710917387976,0.0053726139357318,0.7576159861184599,0.5131984778030657,9.959349632263184,True,0.0031248913582083,0.004607193845444901,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0016999106497479,0.0007654200902869,long_history
assist_09,evidence_support_corruption,0.25,44,all,51090,0.7702015840193313,0.0047609275511603,0.535415512159723,0.004729827921638,0.7749625115704916,0.530685684238085,9.959349632263184,True,0.0033050731399206007,0.003258222749328,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0014558544112397,0.00147160517231,all
assist_09,evidence_support_corruption,0.25,44,graph_hits_history,50529,0.769820386945874,0.0049140115270036,0.5353445165598947,0.0048628444038215,0.7747343984728776,0.5304816721560731,9.959349632263184,True,0.0034714748529809996,0.0033743161960569003,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0014425366740226,0.0014885282077646,direct_unseen_bridgeable
assist_09,evidence_support_corruption,0.25,44,high_support_mass,12637,0.7457222653035751,0.0060205761749903,0.5114761064578113,0.0072570294552517,0.7517428414785654,0.5042190770025595,9.959349632263184,True,0.0059807538405709515,0.007251979149653536,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,3.982233441934824e-05,5.0503055981643286e-06,high_crg_mass
assist_09,evidence_support_corruption,0.25,44,query_seq_top5_q4_high,12141,0.7887487141990285,0.0090423295191908,0.5083756427008437,0.0122332723534197,0.7977910437182193,0.4961423703474239,9.959349632263184,True,0.0061680748256474,0.0101361307300715,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0028742546935434,0.0020971416233482,high_seq_support
assist_09,evidence_support_corruption,0.25,44,multi_concept,8419,0.7420374564132071,0.009679215116622,0.562048520744044,0.0134546854581291,0.7517166715298291,0.5485938352859149,9.959349632263184,True,0.0095773247190142,0.01347015671563877,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0001018903976078,-1.5471257509669378e-05,direct_seen
assist_09,evidence_support_corruption,0.25,44,direct_seen,49506,0.7678807530982996,0.0046966242407826,0.5397732980007699,0.0047325080052352,0.7725773773390823,0.5350407899955346,9.959349632263184,True,0.0032757661140754004,0.0032833673299747,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0014208581267072,0.0014491406752605,direct_seen
assist_09,evidence_support_corruption,0.25,44,direct_unseen,1584,0.8075707765471897,0.0104664095280418,0.399218197862461,0.0046460651573884,0.8180371860752316,0.3945721327050726,9.959349632263184,True,0.0059267916023206,0.0024723593594925997,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0045396179257212,0.0021737057978958,direct_unseen
