dataset,candidate_type,query_concept_id,support_signature,support_size,n_total,n_records_sampled,n_learners,n_positive,n_negative,has_both_labels,support_identical_check_passed,mean_pairwise_l1,mean_pairwise_js,posterior_variability_check_passed,score
assist_17,same_query_concept,78,0;2;4;5;7;10;11;12;13;14;20;33;34;36;43;50;56;57;58;59;60;63;68;69;78,25,270,270,212,125,145,True,True,0.5353518392365759,0.0603308349632701,True,3.3128043956605997
assist_17,same_query_concept,20,0;2;4;5;6;12;13;14;20;24;25;26;28;33;34;36;43;46;50;51;57;59;62;63;65;68,26,32,32,30,15,17,True,True,0.6364826188116272,0.0823331939927438,True,3.3092141152311174
assist_17,same_query_concept,20,0;2;4;5;6;12;13;14;20;24;25;26;33;34;36;43;46;50;51;54;57;59;62;63;65;68,26,44,44,43,20,24,True,True,0.6096533297808192,0.0773761375532693,True,3.297576843385723
assist_17,same_query_concept,14,2;4;5;7;10;12;13;14;17;20;24;26;28;32;33;34;37;38;45;53;56;57;59;62;65;68,26,27,27,27,15,12,True,True,0.6258963011736919,0.0826115149756403,True,3.2895628120937737
assist_17,same_query_concept,20,0;2;4;5;6;12;13;14;20;24;25;26;31;33;34;36;43;46;50;51;57;59;62;63;65;68,26,38,38,38,11,27,True,True,0.6128989189501035,0.0774565441477648,True,3.2890812601541275
assist_17,same_query_concept,39,2;3;4;5;7;10;11;12;13;14;20;24;26;32;33;34;36;37;38;39;44;45;48;53;57;58;61,27,708,320,480,451,257,True,True,0.483528061210505,0.0465733648781598,True,3.2874082477337208
assist_17,same_query_concept,14,2;4;5;6;7;10;12;13;14;20;24;26;28;32;33;34;37;38;45;53;56;57;59;62;65;68,26,30,30,30,18,12,True,True,0.6183989819977254,0.0792856524983516,True,3.278940312439647
assist_17,same_query_concept,74,2;4;5;7;10;13;14;20;24;26;29;30;32;33;36;51;56;57;58;59;60;62;63;68;69;74,26,450,320,342,203,247,True,True,0.4847059931159827,0.0494155990366319,True,3.2661414339791044
assist_17,same_query_concept,20,0;2;4;5;6;12;13;14;20;24;25;26;33;34;36;37;43;46;50;51;57;59;62;63;65;68,26,53,53,53,38,15,True,True,0.5836260394717195,0.0697952911962349,True,3.2617056089130863
assist_17,same_query_concept,64,0;2;4;5;7;10;11;12;13;14;20;24;26;32;33;34;36;43;50;57;58;59;60;63;64;68,26,699,320,462,234,465,True,True,0.4555757181305398,0.0448262462486726,True,3.2486534085338543
assist_17,same_query_concept,7,1;4;5;7;10;11;12;13;14;20;23;24;32;33;36;37;38;39;45;49;56;57;59;60;65;71;76,27,66,66,66,41,25,True,True,0.5558672057360348,0.0668376119674329,True,3.243686915544863
assist_17,same_query_concept,60,0;2;4;5;7;10;11;13;14;20;26;32;33;34;36;38;44;46;50;57;58;59;60;68;71,25,1053,320,538,456,597,True,True,0.4390115045547432,0.0422230706564013,True,3.2368753442712483
